text,Label
আফসোস লাগে আমরা তোমার জন্য কিছুই করতে পারলাম না।,Political statement
"স্কুলে আজ একটি নতুন সৃজনশীল ক্লাস ছিল, খুব ভালো লাগলো!",Non-Political Statement
"ইশ রে!! এই পোষ্ট টা যদি কালকে দিতা ভাগিনা। তোমারে আমি সেপুদার ভাষায় গাইলাতাম। রোজা রাখছি, তাই পারছি না",Political statement
প্রিয় নেতা আমরা শুধু আমাদের মায়ের মুক্তি চাই,Political statement
আমি খুবই দুঃখিত আজ।,Non-Political Statement
বুইড়ে মাদারচোদ বুইড়ে খানকির পোলা সেফুদা,Non-Political Statement
আজকের ফুটবল ম্যাচটা খুব উত্তেজনাপূর্ণ ছিল | আমি খুব আনন্দিত,Non-Political Statement
আমাকে বারবার দোষ দেওয়া বন্ধ করো!,Non-Political Statement
"তারেক তার নিজের ভাইকে নিয়ে যা করলেন, দেশটিকে লুটেপুটে খাইলেন আর এখন আসছেন দেশের গণতন্ত্র রক্ষার শ্লোগান দিতে! নিজের মান-সম্মান কিছু থাকলে নিজের দেশে এসে নিজেকে আইন এর কাছে সোপর্দ করুন।",Political statement
"শহরের রাস্তায় নতুন নতুন দোকান খুলেছে, দেখে খুব ভালো লাগলো!",Non-Political Statement
বালাই তো দেহা যায়,Non-Political Statement
"এতদিন ধরে আমি ধৈর্য ধরেছি, কিন্তু আজ আমার patience ফুরিয়ে গেছে। কেন মানুষ সব সময় আমাকে অবজ্ঞা করে? আমি সত্যিই রেগে গেছি, কিছুতেই শান্তি পাচ্ছি না।",Non-Political Statement
ঘোলা বুজা যায় না,Non-Political Statement
"এই সিনেমায় অনেক দুঃখজনক দৃশ্য ছিল, আমি বেশ কষ্ট পেয়েছি!",Non-Political Statement
শহরের নতুন সিনেমা হলে গিয়ে সিনেমা দেখতে খুব ভালো লাগলো!,Non-Political Statement
শুধু হুয়াওয়ে অন্য ফোন নয়???,Non-Political Statement
মাফ করে দেয়ার মালিক আল্লাহ তা ঠিক কিন্তু শিরিক করা গুনাহ আল্লাহ মাফ করেন না তুমি যেটা করেছে সেটা শিরিক করেছো.......ছিঃ ছিঃ ছিঃ ছিঃ ছিঃ পারিবারিক শিক্ষার এত অভাবএখন ক্ষমা চাওয়ার প্রধান কারণ হচ্ছে পজিশন কে ধরে রাখা আল্লাহকে ভয় পেয়ে ক্ষমা চাচ্ছেন না,Non-Political Statement
"শেখ হাসিনার কুটকৌশলী বেপরোয়া মনোভাব মিথ্যাচার ও সকল অত্যাচার-নির্যাতন, হয়রানি থেকে দেশের মানুষকে মুক্তি পেতে হলে তার অন্যায়ের বিরুদ্ধে নিজ নিজ অবস্থান থেকে ঐক্যবদ্ধ হয়ে প্রত্যেকেই রুখে দাঁড়াতে হবে।সময় কিন্তু এখনি।জেগে উঠুক ঘুমন্ত বিবেকজেগে উঠুক জনগণ।ভোটকেন্দ্রে উপস্থিতিপাল্টে দেবে পরিস্থিতি ।",Political statement
ভোটের আগে জনগণ ভোটের ফলাফল জেনে গেল,Political statement
শেখ হাসিনা মানুষ থেকে বেদূইন কাফের জালিম হয়ে গেছে। ওর মনে মানুষের জন্য কোনো দয়া মায়া নেই।ওর চেয়ে পশুর মনে রয়েছে।,Political statement
নাস্তিক পন্থি পেজ,Non-Political Statement
