text,region
এগগা রঙিন ছবি তুইলতে অইব আংগো বেকের ,Noakhali
মুই আইজ ম্যালা দিন পর হ্যার লগে কতা কইছি,Barishal 
 ছুডো তুন নানার বাসাত ডর অয়য়ি,Chittagong
মুই কেক পছন্দ করি,Barishal 
আমার হাত ব্যাথা করতাসে,Mymensingh
কাঁচা ইড হাকা অয় হোড়ালে হেইডা আগুনে,Noakhali
আইজগো দেয়ালে পিঠ ঠ্যাকছে,Barishal 
নিজ বাড়িত আয়া হুনি পুরা এলাকাত আমরার নামে খারাপ কথা কইসে,Mymensingh
গুরা তাইক্তে লতি আঁর সাইরকল চালানোর অব্যাস,Chittagong
তোওয়ারা ভালো আছ জানিয়েরে কুশি অইলাম,Chittagong
বিয়ার হইলো বরর বাড়ি আসে,Chittagong
বেয়াক মানুষের ভাষা এক ডইল্লে নো,Chittagong
আফনের ছবি দেইক্ষা খুব ভালা লাগসে,Mymensingh
আমি বেশ কিসুদিন আগেই জানতে পারি আমার বড় বইন পরকিয়ায় লিপ্ত,Mymensingh
দিন দিন হতাশার মইধ্যে ডুবি যাইতেছি এডার তুন মুক্তি হাইয়ুম কেন্নে?,Noakhali
আর হাত ব্যাথা কইরতেছে,Noakhali
মোর জাামাই বাক্কা ফুড়িন্তর লগে হারা রাইত জাগিয়া মাতে,Sylhet
হে হখলরে কয় মুই তার লগে সংসার খরি ,Sylhet
বইটা পাওয়ন গেসে,Mymensingh
তোমরার বেজ্ঞের দুয়া চাই,Mymensingh
আম ফাকে বৈশাখত আর ফল ফাকে ফাগুনত,Chittagong
কিন্তু সুন্দইর্যই বেজ্ঞিন নই,Chittagong
মুই ফুটবল খ্যালার লইজ্ঞা প্রস্তুত,Barishal 
হ্যার লগে থাহা পুতুলগুলা হেই মাইয়ার লগে খেলতে আহে,Barishal 
আফনারে যদি জিফলাত পানি আনিয়া দিবো ইলা এখান ফলর নাম খওয়ার লাগি কওয়া অয় তে আফনার মনো তেতইর নাম আইবউ,Sylhet
তেতুল হাইলে লক্ত ফানি অই যায়,Chittagong
হের বয়স কম-বেশি সত্তর বছর,Mymensingh
তুইন আমার লাইজ্ঞা কুনো সুন্দর উফহার কিনতা পারবি?,Mymensingh
আমার মামাত্তো বইন-ও যাইতো চাইছিল,Sylhet
আমাদের তিন বছরের সংসার বাচ্চা হয়নাই,Mymensingh
তহনো সময় মতন হানা হাইবো ঘুম জাইনো আর খেলিবো,Chittagong
আরে যাইতে দও,Chittagong
অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,Chittagong
 আম্মা খালা লেখাপড়ার লাগি ঢাকাত ফিরার লাগি কইবা মুই যাইতাম ফারতাম নায়,Sylhet
পলাশ ওর নানা আর নানী একই দিনেউ মারা গেছোইন,Sylhet
আঁর মনো অই আঁরার এডে শেষ গরা উচিত,Chittagong
কিন্তু বাসানত নো যায়,Chittagong
তুমিতাইন কিতা চাও তে?,Sylhet
তারা তিনগু ভাই আছিল কিন্তু হেরার মাঝে মিল আছিল না,Sylhet
মোর খতা এখান অউ ফুয়াইন্তর লগে কিওর দরখার থাকতো পারে। ,Sylhet
